uid,domain,variant,is_dirty,n_v,n_e,density,S_iso,S_red,S_log,S_sem,sem_observed,n_missing,n_dup,n_logconf,y_repair,scale_label,pi_entity,pi_graph,pi_context,defects
1026CA125CA90BA61E32483C88198020,government,clean,0,11,10,0.09091,100.0,100.0,100.0,77.799,0,0,0,0,0,none,0.0,0.0,0.0,
43CDEF27850FAF1D05B6C1C11D03AF1E,government,clean,0,14,13,0.07143,100.0,100.0,100.0,77.799,0,0,0,0,0,none,0.0,0.0,0.0,
EDEEBA2E47D875E4DEF112181131779D,government,clean,0,13,12,0.07692,100.0,100.0,100.0,77.799,0,0,0,0,0,none,0.0,0.0,0.0,
AFA0F6E43650859E0659054DEBDB7F79,government,clean,0,7,6,0.14286,100.0,100.0,100.0,77.799,0,0,0,0,0,none,0.0,0.0,0.0,
C30FFFC1460081116DD2F3604C94635F,government,clean,0,13,12,0.07692,100.0,100.0,100.0,77.799,0,0,0,0,0,none,0.0,0.0,0.0,
446B3A326F0E23C463E2976748446644,government,clean,0,13,12,0.07692,100.0,100.0,100.0,77.799,0,0,0,0,0,none,0.0,0.0,0.0,
7C386DAD70C502C0817D78B92483474D,government,clean,0,11,10,0.09091,100.0,100.0,100.0,77.799,0,0,0,0,0,none,0.0,0.0,0.0,
D64C1F1AE373C59B17831DC9353661D8,government,clean,0,13,12,0.07692,100.0,100.0,100.0,77.799,0,0,0,0,0,none,0.0,0.0,0.0,
1D69AB8546BBF88F8B8395F2C7A10CC8,government,clean,0,9,8,0.11111,100.0,100.0,100.0,77.799,0,0,0,0,0,none,0.0,0.0,0.0,
281808A87A63B8F66F50D4972D81F6AB,government,clean,0,7,6,0.14286,100.0,100.0,100.0,65.0,1,0,0,0,0,none,0.0,0.0,0.0,
FE13F14E2BB77EE4B8019D2034BA9595,government,clean,0,11,10,0.09091,100.0,100.0,100.0,77.799,0,0,0,0,0,none,0.0,0.0,0.0,
C7328B2E6322850FDFA26BE23FB0D80B,government,clean,0,11,10,0.09091,100.0,100.0,100.0,77.799,0,0,0,0,0,none,0.0,0.0,0.0,
331C158E78F7150AE2A38AD1EAC01534,government,clean,0,13,12,0.07692,100.0,100.0,100.0,77.799,0,0,0,0,0,none,0.0,0.0,0.0,
A9F95A894F8B0B73DA8C6C12CB3E5604,government,clean,0,13,12,0.07692,100.0,100.0,100.0,77.799,0,0,0,0,0,none,0.0,0.0,0.0,
E0738D8BCE71864224897FE8F37452EA,government,clean,0,7,6,0.14286,100.0,100.0,100.0,77.799,0,0,0,0,0,none,0.0,0.0,0.0,
C8727C9C95CA06A786BA60E512A62004,government,clean,0,11,10,0.09091,100.0,100.0,100.0,77.799,0,0,0,0,0,none,0.0,0.0,0.0,
0019FC074EC76AE0DD76E25846C163E9,government,clean,0,13,12,0.07692,100.0,100.0,100.0,77.799,0,0,0,0,0,none,0.0,0.0,0.0,
48D00E99CFC62F1DE15E4AD7339407BB,government,clean,0,7,6,0.14286,100.0,100.0,100.0,77.799,0,0,0,0,0,none,0.0,0.0,0.0,
FC13FDD7332D6AC1C8EFC00D220D8A30,government,clean,0,13,12,0.07692,100.0,100.0,100.0,77.799,0,0,0,0,0,none,0.0,0.0,0.0,
0EA1E97658E03C726DF49E8C5768F4F0,government,clean,0,13,12,0.07692,100.0,100.0,100.0,77.799,0,0,0,0,0,none,0.0,0.0,0.0,
2A89E741F69E3E205BAED5EE15C098E9,government,clean,0,13,12,0.07692,100.0,100.0,100.0,75.0,1,0,0,0,0,none,0.0,0.0,0.0,
93D658A6BA55F7BC1B67D4AA7304365C,government,clean,0,13,12,0.07692,100.0,100.0,100.0,75.0,1,0,0,0,0,none,0.0,0.0,0.0,
B0D284F73607CCCAF25DA466F5CB69B8,government,clean,0,13,12,0.07692,100.0,100.0,100.0,65.0,1,0,0,0,0,none,0.0,0.0,0.0,
A211EEA89AAE2C5E98E2E1D1265CC6FB,government,clean,0,11,10,0.09091,100.0,100.0,100.0,75.0,1,0,0,0,0,none,0.0,0.0,0.0,
91E5D473F592392EFB67A32ADF3BBD08,government,clean,0,14,13,0.07143,100.0,100.0,100.0,65.0,1,0,0,0,0,none,0.0,0.0,0.0,
D7616EE3214A012779D158B2A776C865,government,clean,0,7,6,0.14286,100.0,100.0,100.0,85.0,1,0,0,0,0,none,0.0,0.0,0.0,
87170251EECAD43608915062182FEA8F,government,clean,0,13,12,0.07692,100.0,100.0,100.0,85.0,1,0,0,0,0,none,0.0,0.0,0.0,
84B32A55F0D7BA5AF7EE399FCEA87BAA,government,clean,0,13,12,0.07692,100.0,100.0,100.0,85.0,1,0,0,0,0,none,0.0,0.0,0.0,
88FCEA47C2FDD78D16C86DB4CB1E75FC,government,clean,0,13,12,0.07692,100.0,100.0,100.0,75.0,1,0,0,0,0,none,0.0,0.0,0.0,
2C77A998202C4743948441B72E337B9C,government,clean,0,13,12,0.07692,100.0,100.0,100.0,65.0,1,0,0,0,0,none,0.0,0.0,0.0,
F28B104F1EABA5AA2FD01BDBE1C4ED7C,government,clean,0,7,6,0.14286,100.0,100.0,100.0,75.0,1,0,0,0,0,none,0.0,0.0,0.0,
8219636C7CCDD02F5608E8B26339F1A6,government,clean,0,14,13,0.07143,100.0,100.0,100.0,75.0,1,0,0,0,0,none,0.0,0.0,0.0,
198d5e758aac493aa2e4e6834427542c,government,clean,0,6,5,0.16667,57.143,100.0,100.0,85.0,1,3,0,0,0,none,0.0,0.0,0.0,
BB1DC71A727958F1F62D57120676081B,government,clean,0,11,10,0.09091,100.0,100.0,100.0,85.0,1,0,0,0,0,none,0.0,0.0,0.0,
ACD67FC6F2FCA1CD8F568FDE299968EB,government,clean,0,13,12,0.07692,100.0,100.0,100.0,85.0,1,0,0,0,0,none,0.0,0.0,0.0,
1A3498C7FCF9AB39E6B68B9596096E81,government,clean,0,13,12,0.07692,100.0,100.0,100.0,85.0,1,0,0,0,0,none,0.0,0.0,0.0,
7A2D7CE13674A14FC63024D14C00F2FB,government,clean,0,13,12,0.07692,100.0,100.0,100.0,85.0,1,0,0,0,0,none,0.0,0.0,0.0,
7387F27AECAD15F3D903517DB6782233,government,clean,0,13,12,0.07692,100.0,100.0,100.0,85.0,1,0,0,0,0,none,0.0,0.0,0.0,
3AD74788C5FB9EB8407CBE332C559BE0,government,clean,0,13,12,0.07692,100.0,100.0,100.0,85.0,1,0,0,0,0,none,0.0,0.0,0.0,
FC6E4BAED62C3E0B22A7A2AD620E742A,government,clean,0,7,6,0.14286,100.0,100.0,100.0,65.0,1,0,0,0,0,none,0.0,0.0,0.0,
0E304B41C91F1185B08EB7939E942552,government,clean,0,13,12,0.07692,100.0,100.0,100.0,85.0,1,0,0,0,0,none,0.0,0.0,0.0,
65FC22E0DDEFE8AE241CA2C2516B1A7A,government,clean,0,11,10,0.09091,100.0,100.0,100.0,85.0,1,0,0,0,0,none,0.0,0.0,0.0,
81B45ED9BD0BF6836ABB63B731C20698,government,clean,0,13,12,0.07692,100.0,100.0,100.0,77.799,0,0,0,0,0,none,0.0,0.0,0.0,
3B05D292692010901C76325335A00D19,government,clean,0,7,6,0.14286,100.0,100.0,100.0,77.799,0,0,0,0,0,none,0.0,0.0,0.0,
93423DD10CC493D1AC4FA3E0CAADDDCF,government,clean,0,6,5,0.16667,100.0,100.0,100.0,77.799,0,0,0,0,0,none,0.0,0.0,0.0,
6509BD277F107D6AE99E0D275E0C7F9B,government,clean,0,13,12,0.07692,100.0,100.0,100.0,77.799,0,0,0,0,0,none,0.0,0.0,0.0,
B5F56ACF420D1165164407B824958196,government,clean,0,13,12,0.07692,100.0,100.0,100.0,77.799,0,0,0,0,0,none,0.0,0.0,0.0,
7ABDCA0E12AAAB55E1C0A03D5B7BEBAC,government,clean,0,11,10,0.09091,100.0,100.0,100.0,77.799,0,0,0,0,0,none,0.0,0.0,0.0,
366CED8AC32013AE60860282264ED08D,government,clean,0,13,12,0.07692,100.0,100.0,100.0,77.799,0,0,0,0,0,none,0.0,0.0,0.0,
904B211D217F350E314BDF78198666A1,government,clean,0,7,6,0.14286,100.0,100.0,100.0,40.0,1,0,0,0,0,none,0.0,0.0,0.0,
B09F887AD58B0D238A6155F4F6D83A12,government,clean,0,7,6,0.14286,100.0,100.0,100.0,77.799,0,0,0,0,0,none,0.0,0.0,0.0,
7A5C5BFB5D3DB92A48D73B587368294F,government,clean,0,13,12,0.07692,100.0,100.0,100.0,77.799,0,0,0,0,0,none,0.0,0.0,0.0,
E231640C76AC51531900343C98B5E5D8,government,clean,0,7,6,0.14286,100.0,100.0,100.0,77.799,0,0,0,0,0,none,0.0,0.0,0.0,
46428EE2FCC51B4660862D25C553BA9E,government,clean,0,13,12,0.07692,100.0,100.0,100.0,77.799,0,0,0,0,0,none,0.0,0.0,0.0,
19F73D8C6261F18D5AC86F73D619E10C,government,clean,0,7,6,0.14286,100.0,100.0,100.0,77.799,0,0,0,0,0,none,0.0,0.0,0.0,
4C90CE34A9A039C7E7333F8D558137AD,government,clean,0,13,12,0.07692,100.0,100.0,100.0,77.799,0,0,0,0,0,none,0.0,0.0,0.0,
742BC3E19B9CC1316BE67C75DA86A834,government,clean,0,13,12,0.07692,100.0,100.0,100.0,60.0,1,0,0,0,0,none,0.0,0.0,0.0,
B06517E33336309F408F3A4D7B983F74,government,clean,0,9,8,0.11111,100.0,100.0,100.0,77.799,0,0,0,0,0,none,0.0,0.0,0.0,
6067E2DE861FE5E7133AA833252EF932,government,clean,0,13,12,0.07692,100.0,100.0,100.0,77.799,0,0,0,0,0,none,0.0,0.0,0.0,
5C14C71F17B613E19550B7D1ABC35BE6,government,clean,0,10,9,0.1,100.0,100.0,100.0,77.799,0,0,0,0,0,none,0.0,0.0,0.0,
96F852C185FA49E39E179E8018C908B1,government,clean,0,7,6,0.14286,100.0,100.0,100.0,77.799,0,0,0,0,0,none,0.0,0.0,0.0,
15EC06C3F998196B44EE42F8B7118D90,government,clean,0,9,8,0.11111,100.0,100.0,100.0,77.799,0,0,0,0,0,none,0.0,0.0,0.0,
2950FC9FCB442E09052FAFD54134F614,government,clean,0,13,12,0.07692,100.0,100.0,100.0,77.799,0,0,0,0,0,none,0.0,0.0,0.0,
423083E8B8CCCC89F70AC9BEB8E95AEF,government,clean,0,13,12,0.07692,100.0,100.0,100.0,77.799,0,0,0,0,0,none,0.0,0.0,0.0,
0C4CA608CD5B7EF21BEAA029A564E547,government,clean,0,12,11,0.08333,100.0,100.0,100.0,77.799,0,0,0,0,0,none,0.0,0.0,0.0,
CC701E6DD9D0F75F0C57D3C28F385E31,government,clean,0,14,13,0.07143,100.0,100.0,100.0,77.799,0,0,0,0,0,none,0.0,0.0,0.0,
842DFFD2D0C243EA5C09F95BA9687154,government,clean,0,7,6,0.14286,100.0,100.0,100.0,65.0,1,0,0,0,0,none,0.0,0.0,0.0,
5EFC4CAF6B5C06AE29BC9229A44E7A34,government,clean,0,7,6,0.14286,100.0,100.0,100.0,75.0,1,0,0,0,0,none,0.0,0.0,0.0,
427EDB2C3B249B5E38E3DA08A791DF7B,government,clean,0,13,12,0.07692,100.0,100.0,100.0,20.0,1,0,0,0,0,none,0.0,0.0,0.0,
C077959D521BBB6C8522B382829A19A8,government,clean,0,10,9,0.1,100.0,100.0,100.0,85.0,1,0,0,0,0,none,0.0,0.0,0.0,
A97E2193F405086533EB3ADEE2F6A4D0,government,clean,0,11,10,0.09091,100.0,100.0,100.0,95.0,1,0,0,0,0,none,0.0,0.0,0.0,
F960D1AB2AAEAD7D4886A070BB4D39EB,government,clean,0,13,12,0.07692,100.0,100.0,100.0,75.0,1,0,0,0,0,none,0.0,0.0,0.0,
22DEADA8F107E69C337F73EF7B2013FE,government,clean,0,13,12,0.07692,100.0,100.0,100.0,65.0,1,0,0,0,0,none,0.0,0.0,0.0,
8BD5EAA667EB78985E4246E646F4555E,government,clean,0,13,12,0.07692,100.0,100.0,100.0,95.0,1,0,0,0,0,none,0.0,0.0,0.0,
32CFCA79E94DB1B45F8C5316A413D706,government,clean,0,7,6,0.14286,100.0,100.0,100.0,77.799,0,0,0,0,0,none,0.0,0.0,0.0,
EE5C1A7F41F505144587A19847AE8B77,government,clean,0,13,12,0.07692,100.0,100.0,100.0,77.799,0,0,0,0,0,none,0.0,0.0,0.0,
0C6485A4F976945C67C8E2A72A086FD6,government,clean,0,13,12,0.07692,100.0,100.0,100.0,77.799,0,0,0,0,0,none,0.0,0.0,0.0,
CFF0A9EBBC3FC5C505FD29D1B93F2E89,government,clean,0,10,9,0.1,100.0,100.0,100.0,77.799,0,0,0,0,0,none,0.0,0.0,0.0,
BDFEA35AA2A946387CC6264E15E62FF5,government,clean,0,7,6,0.14286,100.0,100.0,100.0,77.799,0,0,0,0,0,none,0.0,0.0,0.0,
